Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-6707.038	-6741.395	34.35664	22.15917	4.776003
1	1	-6697.313	-6728.534	31.22023	21.84479	4.917277
2	0	-6698.733	-6726.855	28.12198	21.11835	5.059048
3	1	-6695.199	-6725.012	29.81243	22.4826	4.97937
4	0	-6701.273	-6734.287	33.01363	18.84399	4.750896
5	1	-6697.643	-6731.347	33.70414	23.7093	4.800451
6	0	-6702.485	-6729.941	27.4566	17.677	4.983436
7	1	-6694.811	-6736.433	41.62153	22.31206	4.451125
8	0	-6692.71	-6726.108	33.3977	22.98548	4.818825
9	1	-6696.136	-6730.479	34.34283	22.47173	4.777839
10	0	-6706.212	-6729.985	23.77261	22.98548	5.237572
11	1	-6694.97	-6729.07	34.10063	22.0617	4.787012
12	0	-6708.11	-6737.321	29.21085	22.65057	5.004654
13	1	-6692.054	-6727.099	35.04586	22.58388	4.746899
14	0	-6715.685	-6743.844	28.15913	20.67715	5.054085
15	1	-6698.951	-6733.59	34.63914	21.23719	4.752603
16	0	-6702.167	-6734.973	32.80625	23.85744	4.83654
17	1	-6699.469	-6732.565	33.09602	24.21943	4.819558
18	0	-6698.537	-6724.713	26.17581	22.82643	5.135805
19	1	-6704.174	-6740.689	36.51475	22.99804	4.683233
20	0	-6703.404	-6739.631	36.22661	22.83102	4.695501
21	1	-6697.735	-6734.222	36.48642	23.33666	4.684366
22	0	-6697.702	-6728.537	30.83434	20.19993	4.915153
23	1	-6703.474	-6736.292	32.81771	23.3891	4.841115
24	0	-6688.639	-6723.162	34.52357	22.5667	4.769999
25	1	-6706.858	-6734.808	27.95051	20.27796	5.059169
26	0	-6704.983	-6728.557	23.5746	19.82912	5.271339
27	1	-6709.207	-6740.624	31.41779	21.17021	4.903576
28	0	-6699.937	-6731.609	31.67146	23.03049	4.89357
29	1	-6699.05	-6736.789	37.73912	21.92103	4.620059
30	0	-6725.945	-6744.868	18.92303	24.60978	5.389264
31	1	-6692.049	-6725.39	33.3409	23.40494	4.818618
32	0	-6692.36	-6723.051	30.69118	25.77825	4.882741
33	1	-6706.688	-6739.014	32.3255	23.4356	4.861692
34	0	-6681.577	-6718.324	36.74694	22.86293	4.672813
35	1	-6711.041	-6739.933	28.89174	22.98103	5.014918
36	0	-6688.888	-6720.973	32.08499	20.53797	4.861379
37	1	-6698.239	-6733.075	34.83593	22.81419	4.756417
38	0	-6696.483	-6724.524	28.04114	16.80906	4.877852
39	1	-6685.138	-6719.121	33.98327	24.10501	4.784378
40	0	-6691.52	-6729.797	38.27763	23.12033	4.607076
41	1	-6698.712	-6728.378	29.66591	20.90714	4.984002
42	0	-6685.752	-6721.402	35.65013	21.57137	4.710799
43	1	-6706.889	-6738.058	31.16903	22.34185	4.919516
44	0	-6707.408	-6734.921	27.51217	21.07853	5.087796
45	1	-6699.951	-6733.136	33.18538	25.89827	4.783146
46	0	-6693.311	-6728.203	34.89219	21.84364	4.749172
47	1	-6692.318	-6721.351	29.03344	20.19276	5.004168
48	0	-6698.676	-6726.344	27.66741	22.96772	5.068396
49	1	-6690.751	-6722.94	32.18937	23.43593	4.867497
50	0	-6704.174	-6729.435	25.26137	20.89575	5.194668
51	1	-6695.493	-6731.514	36.02146	23.40279	4.704095
52	0	-6704.462	-6732.338	27.87585	17.676	4.959648
53	1	-6691.856	-6728.114	36.25858	23.40279	4.693963
54	0	-6692.428	-6724.303	31.87455	23.94109	4.874378
55	1	-6687.917	-6725.87	37.95363	22.94798	4.620454
56	0	-6698.317	-6737.049	38.73134	25.43798	4.575634
57	1	-6681.642	-6719.192	37.55041	25.30465	4.623998
58	0	-6696.874	-6733.501	36.62723	22.27701	4.674659
59	1	-6696.46	-6725.185	28.72478	22.18053	5.030029
60	0	-6683.803	-6718.377	34.5743	20.99285	4.751046
61	1	-6706.854	-6741.522	34.66798	26.45107	4.71318
62	0	-6709.018	-6734.868	25.84945	22.99653	5.14701
63	1	-6706.401	-6734.961	28.56038	21.31872	5.03911
64	0	-6683.433	-6718.683	35.25031	21.27306	4.724487
65	1	-6698.316	-6729.453	31.13745	20.42528	4.905255
66	0	-6698.934	-6736.579	37.64497	25.98564	4.609419
67	1	-6703.334	-6731.021	27.68712	21.34183	5.080091
68	0	-6705.19	-6729.962	24.77221	27.39438	5.049774
69	1	-6695.728	-6727.708	31.98023	23.90896	4.87043
70	0	-6698.494	-6734.022	35.52805	21.23361	4.710678
71	1	-6695.504	-6732.073	36.56982	21.405	4.665129
72	0	-6710.68	-6736.488	25.80757	21.28678	5.168332
73	1	-6690.52	-6723.717	33.19683	21.81083	4.82656
74	0	-6698.5	-6730.342	31.84164	22.28038	4.889479
75	1	-6702.763	-6733.497	30.73399	24.60491	4.909437
76	0	-6706.662	-6734.325	27.66283	18.65685	5.026906
77	1	-6728.6	-6753.767	25.16749	22.16774	5.190578
78	0	-6701.428	-6734.659	33.23081	25.18776	4.797109
79	1	-6702.004	-6738.227	36.2226	26.06832	4.662499
80	0	-6705.494	-6733.932	28.43819	19.25088	5.009323
81	1	-6704.756	-6735.96	31.20379	22.88733	4.915078
82	0	-6704.473	-6739.707	35.23415	21.74113	4.732331
83	1	-6697.757	-6729.874	32.11665	25.4821	4.834632
84	0	-6712.761	-6744.772	32.01109	19.99235	4.85102
85	1	-6701.441	-6725.668	24.22716	18.76334	5.214624
86	0	-6703.159	-6736.526	33.36623	21.5791	4.816755
87	1	-6696.588	-6728.178	31.5903	22.51886	4.900167
88	0	-6703.512	-6743.023	39.51088	24.19165	4.554794
89	1	-6703.903	-6729.571	25.66722	22.98044	5.155242
90	0	-6687.085	-6722.681	35.59647	24.61666	4.711662
