Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-6697.313	-6728.534	31.22023	21.84479	4.917277
10	-6695.199	-6725.012	29.81243	22.4826	4.97937
20	-6697.643	-6731.347	33.70414	23.7093	4.800451
30	-6694.811	-6736.433	41.62153	22.31206	4.451125
40	-6696.136	-6730.479	34.34283	22.47173	4.777839
50	-6694.97	-6729.07	34.10063	22.0617	4.787012
60	-6692.054	-6727.099	35.04586	22.58388	4.746899
70	-6698.951	-6733.59	34.63914	21.23719	4.752603
80	-6699.469	-6732.565	33.09602	24.21943	4.819558
90	-6704.174	-6740.689	36.51475	22.99804	4.683233
100	-6697.735	-6734.222	36.48642	23.33666	4.684366
110	-6703.474	-6736.292	32.81771	23.3891	4.841115
120	-6706.858	-6734.808	27.95051	20.27796	5.059169
130	-6709.207	-6740.624	31.41779	21.17021	4.903576
140	-6699.05	-6736.789	37.73912	21.92103	4.620059
150	-6692.049	-6725.39	33.3409	23.40494	4.818618
160	-6706.688	-6739.014	32.3255	23.4356	4.861692
170	-6711.041	-6739.933	28.89174	22.98103	5.014918
180	-6698.239	-6733.075	34.83593	22.81419	4.756417
190	-6685.138	-6719.121	33.98327	24.10501	4.784378
200	-6698.712	-6728.378	29.66591	20.90714	4.984002
210	-6706.889	-6738.058	31.16903	22.34185	4.919516
220	-6699.951	-6733.136	33.18538	25.89827	4.783146
230	-6692.318	-6721.351	29.03344	20.19276	5.004168
240	-6690.751	-6722.94	32.18937	23.43593	4.867497
250	-6695.493	-6731.514	36.02146	23.40279	4.704095
260	-6691.856	-6728.114	36.25858	23.40279	4.693963
270	-6687.917	-6725.87	37.95363	22.94798	4.620454
280	-6681.642	-6719.192	37.55041	25.30465	4.623998
290	-6696.46	-6725.185	28.72478	22.18053	5.030029
300	-6706.854	-6741.522	34.66798	26.45107	4.71318
310	-6706.401	-6734.961	28.56038	21.31872	5.03911
320	-6698.316	-6729.453	31.13745	20.42528	4.905255
330	-6703.334	-6731.021	27.68712	21.34183	5.080091
340	-6695.728	-6727.708	31.98023	23.90896	4.87043
350	-6695.504	-6732.073	36.56982	21.405	4.665129
360	-6690.52	-6723.717	33.19683	21.81083	4.82656
370	-6702.763	-6733.497	30.73399	24.60491	4.909437
380	-6728.6	-6753.767	25.16749	22.16774	5.190578
390	-6702.004	-6738.227	36.2226	26.06832	4.662499
400	-6704.756	-6735.96	31.20379	22.88733	4.915078
410	-6697.757	-6729.874	32.11665	25.4821	4.834632
420	-6701.441	-6725.668	24.22716	18.76334	5.214624
430	-6696.588	-6728.178	31.5903	22.51886	4.900167
440	-6703.903	-6729.571	25.66722	22.98044	5.155242
450	-6690.8	-6721.517	30.71635	17.51535	4.785899
460	-6690.17	-6719.505	29.33512	22.36779	5.00143
470	-6709.21	-6742.253	33.04303	23.40292	4.831362
480	-6703.952	-6734.499	30.54756	22.36027	4.947257
490	-6693.736	-6735.755	42.01912	25.68425	4.444224
500	-6707.786	-6739.455	31.66901	22.27713	4.89723
