Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-4148.84	-4149.322	0.4826188	18543.89	18.40499	0.990681	0.9976	1.00237	1.00935	5.866238
1	1	-4165.669	-4152.779	-12.89048	6672.43	17.62767	0.984482	0.995983	1.00393	1.0156	6.61576
2	0	-4132.07	-4128.282	-3.788572	15732.26	15.1634	0.989884	0.997393	1.00257	1.01015	6.00098
3	1	-4146.094	-4143.922	-2.172528	26530.11	17.98589	0.992207	0.997996	1.00198	1.00781	6.010497
4	0	-4132.344	-4130.793	-1.551409	23793.6	18.48236	0.991772	0.997883	1.00209	1.00825	5.976544
5	1	-4133.274	-4130.73	-2.544338	6836.379	18.45869	0.984669	0.996032	1.00388	1.01541	6.030411
6	0	-4119.821	-4123.543	3.721827	31185.16	20.22736	0.992811	0.998152	1.00183	1.00721	5.687009
7	1	-4132.89	-4129.938	-2.95138	4594.312	17.70032	0.98131	0.995148	1.00473	1.01881	6.052521
8	0	-4115.329	-4117.556	2.227213	57826.66	17.88892	0.994719	0.998645	1.00135	1.00529	5.764066
9	1	-4135.369	-4129.259	-6.10971	9413.581	16.42958	0.98693	0.996623	1.00332	1.01313	6.21596
10	0	-4123.529	-4122.494	-1.03496	30374.74	17.07832	0.992716	0.998128	1.00185	1.0073	5.931333
11	1	-4127.701	-4126.206	-1.494137	46458.9	16.98252	0.994109	0.998488	1.0015	1.0059	5.955529
12	0	-4122.377	-4123.878	1.500285	91684.37	23.41768	0.995805	0.998925	1.00107	1.0042	5.686562
13	1	-4131.978	-4127.349	-4.628548	26943.26	21.79375	0.992267	0.998011	1.00197	1.00775	6.033777
14	0	-4127.839	-4125.939	-1.900793	41737.45	15.70681	0.993785	0.998404	1.00158	1.00623	5.919566
15	1	-4131.551	-4132.719	1.16798	64211.8	17.0174	0.994988	0.998714	1.00128	1.00502	5.800102
16	0	-4131.013	-4128.032	-2.98103	34697.83	17.06838	0.993184	0.998249	1.00173	1.00683	6.045066
17	1	-4150.14	-4145.267	-4.873415	73670.79	17.18756	0.995321	0.9988	1.00119	1.00469	6.157611
18	0	-4152.544	-4150.451	-2.093871	95795.35	16.41578	0.995896	0.998948	1.00105	1.00411	5.970937
19	1	-4140.429	-4138.74	-1.689004	88594.32	21.63177	0.995733	0.998906	1.00109	1.00427	5.905595
20	0	-4123.57	-4123.419	-0.1510888	87164.63	17.18942	0.995698	0.998897	1.0011	1.00431	5.882911
21	1	-4131.94	-4131.442	-0.4977246	71322.31	17.34739	0.995244	0.99878	1.00121	1.00476	5.90709
22	0	-4132.03	-4134.898	2.867732	29920.45	19.21281	0.992661	0.998114	1.00187	1.00736	5.739678
23	1	-4110.096	-4114.441	4.344759	55546.39	17.80025	0.994612	0.998617	1.00137	1.0054	5.643269
24	0	-4118.004	-4117.961	-0.04330501	31028.9	19.32477	0.992793	0.998148	1.00183	1.00723	5.889879
25	1	-4131.177	-4133.043	1.866348	58469.32	16.55626	0.994748	0.998652	1.00134	1.00526	5.737537
26	0	-4114.375	-4116.851	2.475694	13191.7	16.44056	0.988955	0.997152	1.00281	1.01109	5.694059
27	1	-4135.082	-4131.811	-3.270843	90404.29	18.97081	0.995776	0.998917	1.00108	1.00423	6.063523
28	0	-4110.254	-4115.094	4.840055	22760.56	16.93467	0.991587	0.997835	1.00214	1.00844	5.580057
29	1	-4130.305	-4136.192	5.887613	47693.16	19.22961	0.994186	0.998507	1.00148	1.00583	5.582581
30	0	-4131.656	-4130.262	-1.394369	76531.23	17.98437	0.995409	0.998823	1.00117	1.0046	5.967223
31	1	-4136.311	-4131.153	-5.158472	99552.11	18.66427	0.995974	0.998968	1.00103	1.00403	6.168903
32	0	-4111.601	-4115.189	3.587955	97703.76	17.7682	0.995936	0.998958	1.00104	1.00407	5.684941
33	1	-4150.338	-4144.334	-6.004118	70087.76	17.85078	0.995203	0.99877	1.00122	1.00481	6.224417
34	0	-4131.407	-4127.987	-3.420542	40447.28	18.45119	0.993687	0.998379	1.00161	1.00633	6.077942
35	1	-4149.351	-4145.969	-3.381803	95047.57	20.23413	0.99588	0.998944	1.00105	1.00413	6.03798
36	0	-4125.553	-4121.192	-4.36027	92691.96	18.7644	0.995828	0.998931	1.00106	1.00418	6.1246
37	1	-4148.141	-4149.265	1.124416	71711.53	17.11351	0.995257	0.998784	1.00121	1.00475	5.806137
38	0	-4114.515	-4117.071	2.555809	80895.09	17.71188	0.995534	0.998855	1.00114	1.00447	5.741674
39	1	-4124.72	-4127.034	2.314095	38380.5	18.15734	0.993519	0.998335	1.00165	1.0065	5.763801
40	0	-4126.43	-4123.514	-2.91563	18308.08	21.39709	0.990621	0.997585	1.00238	1.00941	5.97228
41	1	-4121.696	-4128.1	6.404483	58847.62	20.33425	0.994765	0.998657	1.00133	1.00524	5.553424
42	0	-4148.525	-4136.018	-12.50716	55926.08	16.73538	0.99463	0.998622	1.00137	1.00538	6.605516
43	1	-4136.33	-4132.819	-3.511665	86845.13	20.71404	0.99569	0.998895	1.0011	1.00432	6.027602
44	0	-4131.096	-4130.278	-0.8179753	98982.56	15.61894	0.995963	0.998965	1.00103	1.00404	5.844078
45	1	-4115.495	-4121.759	6.263749	3058.055	19.26442	0.977109	0.994036	1.00578	1.02308	5.563216
46	0	-4124.046	-4121.981	-2.065099	92331.08	17.30975	0.99582	0.998928	1.00107	1.00419	5.996739
47	1	-4113.314	-4121.44	8.126797	31795.1	18.58634	0.99288	0.99817	1.00181	1.00714	5.455382
48	0	-4124.594	-4125.089	0.4957418	43447	19.08956	0.993908	0.998436	1.00155	1.0061	5.864187
49	1	-4114.09	-4120.628	6.538274	31632.37	20.18604	0.992862	0.998166	1.00182	1.00716	5.548088
50	0	-4136.366	-4136.598	0.2312063	10323.7	17.51472	0.987518	0.996777	1.00317	1.01254	5.869061
51	1	-4118.263	-4123.84	5.576591	52336.06	17.37429	0.994449	0.998575	1.00141	1.00556	5.558097
52	0	-4134.478	-4129.37	-5.107811	63230.63	18.83572	0.99495	0.998704	1.00129	1.00506	6.163098
53	1	-4134.319	-4128.954	-5.364954	43910.68	15.11201	0.993941	0.998444	1.00154	1.00607	6.100995
54	0	-4140.308	-4132.638	-7.66962	50898.69	19.38411	0.994371	0.998555	1.00143	1.00564	6.282541
55	1	-4139.74	-4135.628	-4.11182	48298.92	17.31522	0.994222	0.998517	1.00147	1.00579	6.115047
56	0	-4137.99	-4131.632	-6.357058	93021.46	16.51369	0.995835	0.998932	1.00106	1.00417	6.233202
57	1	-4126.848	-4124.285	-2.562544	6983.62	20.11635	0.984831	0.996074	1.00384	1.01525	6.000984
58	0	-4125.136	-4119.842	-5.293917	66268.44	18.86399	0.995067	0.998735	1.00126	1.00494	6.172412
59	1	-4125.88	-4129.989	4.108468	8840.07	21.85484	0.986513	0.996515	1.00342	1.01355	5.63105
60	0	-4129.944	-4127.617	-2.327327	34415.27	16.56397	0.993157	0.998242	1.00174	1.00686	5.99113
61	1	-4141.349	-4133.049	-8.300391	16072.14	19.75564	0.989991	0.997421	1.00254	1.01004	6.301151
62	0	-4123.47	-4126.661	3.190794	25323.3	21.83027	0.992024	0.997949	1.00203	1.008	5.673827
63	1	-4123.737	-4122.196	-1.540926	6802.993	21.61685	0.984631	0.996022	1.00389	1.01545	5.899353
64	0	-4133.111	-4130.64	-2.470207	40717.9	20.59352	0.993708	0.998384	1.0016	1.00631	5.981456
65	1	-4123.135	-4122.658	-0.4764857	91720.34	20.46746	0.995806	0.998925	1.00107	1.0042	5.88822
66	0	-4111.698	-4114.748	3.049493	26881.82	19.97692	0.992258	0.998009	1.00197	1.00776	5.723995
67	1	-4123.629	-4125.036	1.406893	66287.56	18.71889	0.995067	0.998735	1.00126	1.00494	5.817224
68	0	-4127.943	-4122.15	-5.792947	50172.88	19.91407	0.994331	0.998545	1.00144	1.00568	6.168841
69	1	-4116.026	-4118.194	2.167965	48647.11	18.91475	0.994243	0.998522	1.00147	1.00577	5.776864
70	0	-4120.927	-4125.831	4.903964	60174.61	22.32194	0.994823	0.998672	1.00132	1.00519	5.58045
71	1	-4126.536	-4130.941	4.405283	63460.52	23.18647	0.994959	0.998707	1.00128	1.00505	5.571616
72	0	-4121.922	-4120.186	-1.73642	71334.7	20.5674	0.995245	0.99878	1.00121	1.00476	5.946657
73	1	-4117.904	-4124.744	6.839724	63659.52	21.19197	0.994967	0.998709	1.00128	1.00504	5.520327
74	0	-4130.271	-4127.244	-3.027426	21741.79	19.01872	0.991393	0.997785	1.00219	1.00863	6.049932
75	1	-4131.764	-4127.448	-4.315376	8205.965	16.05558	0.986003	0.996381	1.00355	1.01407	6.091592
76	0	-4126.735	-4126.838	0.1029886	13122	16.57946	0.988925	0.997144	1.00281	1.01112	5.845131
77	1	-4122.265	-4123.32	1.054779	406.025	19.52783	0.937641	0.983191	1.0154	1.06377	5.830809
78	0	-4107.631	-4109.972	2.340992	61780.16	18.15634	0.994891	0.998689	1.0013	1.00512	5.762306
79	1	-4141.2	-4141.472	0.2720996	721.1071	18.82326	0.95307	0.987517	1.01169	1.04772	5.877526
80	0	-4125.988	-4126.389	0.401436	76606.91	18.72416	0.995411	0.998823	1.00117	1.0046	5.870928
81	1	-4125.858	-4128.575	2.716741	78694.22	17.08449	0.995472	0.998839	1.00115	1.00453	5.711911
82	0	-4112.192	-4121.825	9.63273	42944.98	20.06785	0.993873	0.998427	1.00156	1.00614	5.394676
83	1	-4126.177	-4117.507	-8.669921	35521.9	15.3381	0.993264	0.998269	1.00171	1.00675	6.332995
84	0	-4129.461	-4128.894	-0.5664086	76546.78	16.2684	0.995409	0.998823	1.00117	1.0046	5.870307
85	1	-4136.866	-4136.103	-0.7626087	41695.84	16.11751	0.993782	0.998403	1.00158	1.00623	5.873979
86	0	-4126.762	-4131.349	4.58699	61983.83	20.225	0.994899	0.998691	1.0013	1.00511	5.644268
87	1	-4123.789	-4127.472	3.683045	67883.59	18.50648	0.995126	0.99875	1.00124	1.00488	5.693613
88	0	-4107.834	-4114.957	7.122367	7192.595	19.39958	0.985052	0.996132	1.00379	1.01503	5.519528
89	1	-4113.579	-4117.195	3.616245	88927.65	17.08396	0.995741	0.998908	1.00109	1.00427	5.659237
90	0	-4117.148	-4124.112	6.964155	78451.23	20.96092	0.995465	0.998837	1.00116	1.00454	5.518346
