Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-4165.669	-4152.779	-12.89048	6672.43	17.62767	0.984482	0.995983	1.00393	1.0156	6.61576
10	-4146.094	-4143.922	-2.172528	26530.11	17.98589	0.992207	0.997996	1.00198	1.00781	6.010497
20	-4133.274	-4130.73	-2.544338	6836.379	18.45869	0.984669	0.996032	1.00388	1.01541	6.030411
30	-4132.89	-4129.938	-2.95138	4594.312	17.70032	0.98131	0.995148	1.00473	1.01881	6.052521
40	-4135.369	-4129.259	-6.10971	9413.581	16.42958	0.98693	0.996623	1.00332	1.01313	6.21596
50	-4127.701	-4126.206	-1.494137	46458.9	16.98252	0.994109	0.998488	1.0015	1.0059	5.955529
60	-4131.978	-4127.349	-4.628548	26943.26	21.79375	0.992267	0.998011	1.00197	1.00775	6.033777
70	-4131.551	-4132.719	1.16798	64211.8	17.0174	0.994988	0.998714	1.00128	1.00502	5.800102
80	-4150.14	-4145.267	-4.873415	73670.79	17.18756	0.995321	0.9988	1.00119	1.00469	6.157611
90	-4140.429	-4138.74	-1.689004	88594.32	21.63177	0.995733	0.998906	1.00109	1.00427	5.905595
100	-4131.94	-4131.442	-0.4977246	71322.31	17.34739	0.995244	0.99878	1.00121	1.00476	5.90709
110	-4110.096	-4114.441	4.344759	55546.39	17.80025	0.994612	0.998617	1.00137	1.0054	5.643269
120	-4131.177	-4133.043	1.866348	58469.32	16.55626	0.994748	0.998652	1.00134	1.00526	5.737537
130	-4135.082	-4131.811	-3.270843	90404.29	18.97081	0.995776	0.998917	1.00108	1.00423	6.063523
140	-4130.305	-4136.192	5.887613	47693.16	19.22961	0.994186	0.998507	1.00148	1.00583	5.582581
150	-4136.311	-4131.153	-5.158472	99552.11	18.66427	0.995974	0.998968	1.00103	1.00403	6.168903
160	-4150.338	-4144.334	-6.004118	70087.76	17.85078	0.995203	0.99877	1.00122	1.00481	6.224417
170	-4149.351	-4145.969	-3.381803	95047.57	20.23413	0.99588	0.998944	1.00105	1.00413	6.03798
180	-4148.141	-4149.265	1.124416	71711.53	17.11351	0.995257	0.998784	1.00121	1.00475	5.806137
190	-4124.72	-4127.034	2.314095	38380.5	18.15734	0.993519	0.998335	1.00165	1.0065	5.763801
200	-4121.696	-4128.1	6.404483	58847.62	20.33425	0.994765	0.998657	1.00133	1.00524	5.553424
210	-4136.33	-4132.819	-3.511665	86845.13	20.71404	0.99569	0.998895	1.0011	1.00432	6.027602
220	-4115.495	-4121.759	6.263749	3058.055	19.26442	0.977109	0.994036	1.00578	1.02308	5.563216
230	-4113.314	-4121.44	8.126797	31795.1	18.58634	0.99288	0.99817	1.00181	1.00714	5.455382
240	-4114.09	-4120.628	6.538274	31632.37	20.18604	0.992862	0.998166	1.00182	1.00716	5.548088
250	-4118.263	-4123.84	5.576591	52336.06	17.37429	0.994449	0.998575	1.00141	1.00556	5.558097
260	-4134.319	-4128.954	-5.364954	43910.68	15.11201	0.993941	0.998444	1.00154	1.00607	6.100995
270	-4139.74	-4135.628	-4.11182	48298.92	17.31522	0.994222	0.998517	1.00147	1.00579	6.115047
280	-4126.848	-4124.285	-2.562544	6983.62	20.11635	0.984831	0.996074	1.00384	1.01525	6.000984
290	-4125.88	-4129.989	4.108468	8840.07	21.85484	0.986513	0.996515	1.00342	1.01355	5.63105
300	-4141.349	-4133.049	-8.300391	16072.14	19.75564	0.989991	0.997421	1.00254	1.01004	6.301151
310	-4123.737	-4122.196	-1.540926	6802.993	21.61685	0.984631	0.996022	1.00389	1.01545	5.899353
320	-4123.135	-4122.658	-0.4764857	91720.34	20.46746	0.995806	0.998925	1.00107	1.0042	5.88822
330	-4123.629	-4125.036	1.406893	66287.56	18.71889	0.995067	0.998735	1.00126	1.00494	5.817224
340	-4116.026	-4118.194	2.167965	48647.11	18.91475	0.994243	0.998522	1.00147	1.00577	5.776864
350	-4126.536	-4130.941	4.405283	63460.52	23.18647	0.994959	0.998707	1.00128	1.00505	5.571616
360	-4117.904	-4124.744	6.839724	63659.52	21.19197	0.994967	0.998709	1.00128	1.00504	5.520327
370	-4131.764	-4127.448	-4.315376	8205.965	16.05558	0.986003	0.996381	1.00355	1.01407	6.091592
380	-4122.265	-4123.32	1.054779	406.025	19.52783	0.937641	0.983191	1.0154	1.06377	5.830809
390	-4141.2	-4141.472	0.2720996	721.1071	18.82326	0.95307	0.987517	1.01169	1.04772	5.877526
400	-4125.858	-4128.575	2.716741	78694.22	17.08449	0.995472	0.998839	1.00115	1.00453	5.711911
410	-4126.177	-4117.507	-8.669921	35521.9	15.3381	0.993264	0.998269	1.00171	1.00675	6.332995
420	-4136.866	-4136.103	-0.7626087	41695.84	16.11751	0.993782	0.998403	1.00158	1.00623	5.873979
430	-4123.789	-4127.472	3.683045	67883.59	18.50648	0.995126	0.99875	1.00124	1.00488	5.693613
440	-4113.579	-4117.195	3.616245	88927.65	17.08396	0.995741	0.998908	1.00109	1.00427	5.659237
450	-4127.69	-4135.946	8.255456	90702.46	20.63246	0.995783	0.998919	1.00107	1.00422	5.460292
460	-4134.768	-4131.794	-2.97389	47777.27	18.12331	0.994191	0.998509	1.00148	1.00582	6.055081
470	-4136.287	-4137.833	1.545859	93910.31	16.95633	0.995855	0.998938	1.00106	1.00415	5.775468
480	-4125.026	-4126.892	1.866076	94596.03	19.66945	0.99587	0.998941	1.00105	1.00414	5.787654
490	-4125.629	-4118.401	-7.227899	75470.91	17.46792	0.995377	0.998814	1.00118	1.00463	6.29503
500	-4136.354	-4128.227	-8.126598	39835	17.2461	0.993639	0.998366	1.00162	1.00638	6.346942
510	-4139.902	-4141.719	1.816756	27639.96	16.7895	0.992365	0.998037	1.00194	1.00766	5.752161
520	-4126.568	-4128.887	2.318187	31489.3	20.37213	0.992846	0.998161	1.00182	1.00717	5.753632
530	-4131.541	-4124.04	-7.501275	44868.23	22.99585	0.994006	0.998461	1.00153	1.00601	6.096663
540	-4124.657	-4125.048	0.3914788	13080.3	17.33089	0.988908	0.997139	1.00282	1.01114	5.855393
550	-4127.57	-4128.819	1.248291	24318.95	17.98558	0.991861	0.997906	1.00207	1.00816	5.820298
560	-4115.029	-4119.093	4.06346	26855.86	16.00825	0.992254	0.998008	1.00197	1.00777	5.565947
