Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-6661.284	-6696.623	35.33889	2.385274	20.87506	0.335303	0.690589	1.0772	1.89691	3.934777
1	1	-6694.767	-6719.403	24.63608	25769.18	25.55303	0.992093	0.997966	1.00201	1.00793	4.490841
2	0	-6666.406	-6695.096	28.69064	2.690724	25.20092	0.363824	0.712826	1.0805	1.84285	4.333276
3	1	-6692.735	-6721.815	29.08016	27869.04	25.18189	0.992396	0.998045	1.00193	1.00762	4.317844
4	0	-6665.011	-6694.795	29.78412	2.686504	25.9742	0.363455	0.712547	1.08046	1.84354	4.287702
5	1	-6690.774	-6716.849	26.07551	81683.64	24.73325	0.995556	0.998861	1.00113	1.00445	4.439145
6	0	-6669.201	-6699.141	29.94063	1.820559	25.38063	0.270871	0.634467	1.06477	2.02989	4.283564
7	1	-6686.912	-6709.575	22.66249	29273.13	25.86928	0.992581	0.998093	1.00189	1.00744	4.563516
8	0	-6675.704	-6705.839	30.1352	2.836298	27.58801	0.376187	0.722042	1.08158	1.82019	4.259356
9	1	-6688.708	-6708.228	19.52056	72590.86	26.00035	0.995286	0.998791	1.0012	1.00472	4.682309
10	0	-6667.66	-6693.168	25.50816	3.237596	27.59344	0.406847	0.743889	1.08346	1.7658	4.426971
11	1	-6692.138	-6715.453	23.31464	43215.9	21.47007	0.993892	0.998432	1.00156	1.00612	4.528154
12	0	-6651.81	-6684.642	32.83241	1.564277	21.10958	0.235083	0.598917	1.05398	2.11202	4.06738
13	1	-6696.869	-6712.801	15.93196	50354.99	23.01522	0.994341	0.998548	1.00144	1.00567	4.872709
14	0	-6650.908	-6691.804	40.8966	2.006493	25.20481	0.294049	0.655702	1.07015	1.9801	3.848997
15	1	-6695.638	-6716.732	21.09358	47494.86	24.55428	0.994173	0.998504	1.00148	1.00584	4.642432
16	0	-6652.026	-6697.036	45.01038	1.973601	33.02095	0.290103	0.652177	1.06931	1.98841	3.690335
17	1	-6690.06	-6713.438	23.37813	29893.43	27.31974	0.992658	0.998113	1.00187	1.00736	4.51006
18	0	-6655.004	-6703.339	48.33553	1.078061	25.59872	0.152261	0.49902	1.01182	2.3369	3.564549
19	1	-6703.589	-6721.192	17.60303	46719.81	25.18202	0.994125	0.998492	1.0015	1.00589	4.773611
20	0	-6623.365	-6678.995	55.63063	1.288944	32.97482	0.190803	0.54919	1.03518	2.22482	3.368915
21	1	-6690.641	-6721.584	30.94316	79780.82	24.21224	0.995503	0.998847	1.00115	1.0045	4.238569
22	0	-6644.622	-6697.53	52.90756	1.290801	31.62778	0.191124	0.549578	1.03535	2.22395	3.457998
23	1	-6685.439	-6707.457	22.0186	61694.58	24.12492	0.994887	0.998688	1.0013	1.00512	4.607642
24	0	-6630.156	-6685.641	55.48533	1.247739	30.73906	0.183598	0.540366	1.0314	2.24464	3.375122
25	1	-6682.32	-6703.034	20.71415	22379.91	24.4735	0.991516	0.997817	1.00216	1.00851	4.658704
26	0	-6626.21	-6679.64	53.43024	0.8535909	30.40124	0.106901	0.427847	0.970766	2.49449	3.441373
27	1	-6682.44	-6702.964	20.52318	5424.236	24.30833	0.982794	0.995539	1.00436	1.01731	4.668094
28	0	-6624.505	-6686.404	61.899	0.5877857	34.97098	0.050599	0.305414	0.874957	2.76903	3.17587
29	1	-6699.288	-6717.068	17.78018	25822.07	23.37001	0.992101	0.997969	1.00201	1.00792	4.790582
30	0	-6623.6	-6690.847	67.2463	0.5217806	35.33474	0.0374923	0.265897	0.835492	2.86112	3.022876
31	1	-6685.417	-6705.863	20.44581	68680.71	20.82754	0.995154	0.998757	1.00123	1.00485	4.646912
32	0	-6624.474	-6701.127	76.65307	0.6119391	39.83822	0.0555795	0.318844	0.88729	2.73829	2.762688
33	1	-6697.89	-6725.912	28.02212	81227.37	25.08916	0.995544	0.998857	1.00114	1.00446	4.360097
34	0	-6618.704	-6687.059	68.35563	0.7448017	41.31308	0.0837722	0.383924	0.940403	2.5919	2.957196
35	1	-6680.059	-6705.953	25.89383	37189.59	22.77839	0.993416	0.998309	1.00168	1.0066	4.436799
36	0	-6626.682	-6683.109	56.4278	0.9923968	40.19519	0.135434	0.474455	0.998729	2.39138	3.264631
37	1	-6678.294	-6704.459	26.16515	90576.94	31.5647	0.99578	0.998918	1.00108	1.00423	4.305386
38	0	-6620.075	-6674.69	54.61502	1.129668	33.5374	0.162076	0.512535	1.01855	2.30684	3.396331
39	1	-6689.663	-6711.636	21.97319	94987.61	25.17483	0.995879	0.998944	1.00105	1.00413	4.600157
40	0	-6628.437	-6670.847	42.40987	1.250464	27.44699	0.184079	0.540963	1.03166	2.2433	3.813955
41	1	-6679.788	-6696.222	16.43413	79939.13	26.66973	0.995508	0.998848	1.00114	1.0045	4.783198
