Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-6661.284	-6696.623	35.33889	2.385274	20.87506	0.335303	0.690589	1.0772	1.89691	3.934777
10	-6666.406	-6695.096	28.69064	2.690724	25.20092	0.363824	0.712826	1.0805	1.84285	4.333276
20	-6665.011	-6694.795	29.78412	2.686504	25.9742	0.363455	0.712547	1.08046	1.84354	4.287702
30	-6669.201	-6699.141	29.94063	1.820559	25.38063	0.270871	0.634467	1.06477	2.02989	4.283564
40	-6675.704	-6705.839	30.1352	2.836298	27.58801	0.376187	0.722042	1.08158	1.82019	4.259356
50	-6667.66	-6693.168	25.50816	3.237596	27.59344	0.406847	0.743889	1.08346	1.7658	4.426971
60	-6651.81	-6684.642	32.83241	1.564277	21.10958	0.235083	0.598917	1.05398	2.11202	4.06738
70	-6650.908	-6691.804	40.8966	2.006493	25.20481	0.294049	0.655702	1.07015	1.9801	3.848997
80	-6652.026	-6697.036	45.01038	1.973601	33.02095	0.290103	0.652177	1.06931	1.98841	3.690335
90	-6655.004	-6703.339	48.33553	1.078061	25.59872	0.152261	0.49902	1.01182	2.3369	3.564549
100	-6623.365	-6678.995	55.63063	1.288944	32.97482	0.190803	0.54919	1.03518	2.22482	3.368915
110	-6644.622	-6697.53	52.90756	1.290801	31.62778	0.191124	0.549578	1.03535	2.22395	3.457998
120	-6630.156	-6685.641	55.48533	1.247739	30.73906	0.183598	0.540366	1.0314	2.24464	3.375122
130	-6626.21	-6679.64	53.43024	0.8535909	30.40124	0.106901	0.427847	0.970766	2.49449	3.441373
140	-6624.505	-6686.404	61.899	0.5877857	34.97098	0.050599	0.305414	0.874957	2.76903	3.17587
150	-6623.6	-6690.847	67.2463	0.5217806	35.33474	0.0374923	0.265897	0.835492	2.86112	3.022876
160	-6624.474	-6701.127	76.65307	0.6119391	39.83822	0.0555795	0.318844	0.88729	2.73829	2.762688
170	-6618.704	-6687.059	68.35563	0.7448017	41.31308	0.0837722	0.383924	0.940403	2.5919	2.957196
