Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-4146.966	-4146.195	-0.7711267	96628.67	18.29387	0.995914	0.998953	1.00104	1.00409	5.934213
1	1	-4138.152	-4132.165	-5.986694	94213.29	18.5618	0.995862	0.998939	1.00105	1.00414	6.215167
2	0	-4109.528	-4109.103	-0.4246586	49074.19	17.46354	0.994268	0.998529	1.00146	1.00574	5.905468
3	1	-4125.332	-4122.859	-2.472803	35454.66	22.33709	0.993257	0.998268	1.00172	1.00676	5.910209
4	0	-4103.178	-4109.889	6.711089	27813.22	17.83802	0.992389	0.998043	1.00194	1.00763	5.511668
5	1	-4129.544	-4125.201	-4.343687	52328.16	16.68196	0.994449	0.998575	1.00141	1.00556	6.116292
6	0	-4115.843	-4122.407	6.563845	22835.33	19.96679	0.991601	0.997839	1.00214	1.00842	5.54812
7	1	-4111.566	-4113.505	1.939151	72791.67	16.45501	0.995293	0.998793	1.0012	1.00472	5.727522
8	0	-4097.464	-4106.452	8.987415	52133.6	19.16128	0.994438	0.998573	1.00142	1.00557	5.420435
9	1	-4099.871	-4110.487	10.61515	26430.16	18.72422	0.992192	0.997992	1.00199	1.00783	5.325446
10	0	-4106.807	-4111.782	4.975982	10986.11	20.11203	0.987899	0.996877	1.00307	1.01215	5.626283
11	1	-4115.857	-4121.377	5.519674	44474.62	22.44611	0.993979	0.998454	1.00153	1.00603	5.548969
12	0	-4108.245	-4121.945	13.69982	7538.853	21.53724	0.985399	0.996223	1.0037	1.01468	5.194894
13	1	-4116.937	-4118.318	1.380545	23002.78	22.61208	0.991632	0.997847	1.00213	1.00839	5.726636
14	0	-4115.002	-4122.239	7.237299	27960.67	21.57045	0.992409	0.998048	1.00193	1.00761	5.49426
15	1	-4134.784	-4130.556	-4.228639	25487.13	19.10868	0.992049	0.997955	1.00202	1.00797	6.111277
16	0	-4133.745	-4130.371	-3.373646	90573.66	19.38943	0.99578	0.998918	1.00108	1.00423	6.060799
17	1	-4125.554	-4124.165	-1.388383	26280.89	17.04798	0.99217	0.997986	1.00199	1.00785	5.95119
18	0	-4131.874	-4132.698	0.8239526	33188.26	21.07096	0.993031	0.998209	1.00177	1.00699	5.807969
19	1	-4133.266	-4131.634	-1.631853	10954.29	19.11634	0.987881	0.996872	1.00308	1.01217	5.975275
20	0	-4129.198	-4137.439	8.240204	79829.12	20.95456	0.995505	0.998847	1.00115	1.0045	5.457549
21	1	-4109.346	-4109.451	0.1049637	2128.249	16.02624	0.972583	0.992829	1.0069	1.02769	5.814394
22	0	-4132.9	-4133.554	0.6536926	54790.24	19.94456	0.994575	0.998608	1.00138	1.00544	5.844545
23	1	-4132.859	-4132.759	-0.09959822	2442.487	15.6377	0.974399	0.993314	1.00645	1.02584	5.799563
24	0	-4129.411	-4128.322	-1.088244	98417.12	17.20398	0.995951	0.998962	1.00103	1.00405	5.937798
25	1	-4112.798	-4116.704	3.906721	3414.188	17.11614	0.978331	0.99436	1.00547	1.02184	5.643674
26	0	-4137.949	-4131.786	-6.162943	69183.76	15.92748	0.995172	0.998762	1.00123	1.00484	6.20136
27	1	-4116.248	-4119.15	2.901813	9147.81	15.97817	0.986741	0.996574	1.00336	1.01332	5.636202
28	0	-4129.502	-4125.144	-4.357831	97701.32	15.42387	0.995936	0.998958	1.00104	1.00407	6.057948
29	1	-4097.908	-4106.567	8.659521	3914.091	18.85218	0.979756	0.994738	1.00512	1.02039	5.4325
30	0	-4112.91	-4122.862	9.952582	91719.48	22.97474	0.995806	0.998925	1.00107	1.0042	5.338234
31	1	-4096.088	-4103.893	7.804867	17615.05	19.23157	0.990439	0.997538	1.00243	1.00959	5.482898
32	0	-4118.087	-4115.17	-2.916864	26106.29	17.734	0.992144	0.99798	1.002	1.00788	6.050813
33	1	-4109.194	-4118.131	8.93693	32726.31	19.92744	0.992982	0.998197	1.00179	1.00704	5.429198
34	0	-4104.075	-4108.96	4.884034	9716.145	19.47943	0.987134	0.996677	1.00326	1.01292	5.634818
35	1	-4121.833	-4122.037	0.2035097	75164.41	15.60488	0.995367	0.998812	1.00118	1.00464	5.777544
36	0	-4111.481	-4104.749	-6.732352	2303.495	16.19954	0.973641	0.993112	1.00664	1.02661	6.247147
37	1	-4136.247	-4132.948	-3.298478	53108.64	19.03461	0.99449	0.998586	1.0014	1.00552	6.063913
38	0	-4129.247	-4124.645	-4.601967	1437.871	19.44785	0.96668	0.99124	1.00836	1.03372	6.122632
39	1	-4133.057	-4134.558	1.500918	62135.86	19.90152	0.994905	0.998693	1.0013	1.0051	5.80278
40	0	-4115.021	-4114.916	-0.1052991	8968.155	20.14844	0.98661	0.99654	1.0034	1.01345	5.87809
41	1	-4116.477	-4119.811	3.334231	53001.43	22.10083	0.994484	0.998584	1.0014	1.00553	5.658408
