Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-4146.966	-4146.195	-0.7711267	96628.67	18.29387	0.995914	0.998953	1.00104	1.00409	5.934213
10	-4109.528	-4109.103	-0.4246586	49074.19	17.46354	0.994268	0.998529	1.00146	1.00574	5.905468
20	-4103.178	-4109.889	6.711089	27813.22	17.83802	0.992389	0.998043	1.00194	1.00763	5.511668
30	-4115.843	-4122.407	6.563845	22835.33	19.96679	0.991601	0.997839	1.00214	1.00842	5.54812
40	-4097.464	-4106.452	8.987415	52133.6	19.16128	0.994438	0.998573	1.00142	1.00557	5.420435
50	-4106.807	-4111.782	4.975982	10986.11	20.11203	0.987899	0.996877	1.00307	1.01215	5.626283
60	-4108.245	-4121.945	13.69982	7538.853	21.53724	0.985399	0.996223	1.0037	1.01468	5.194894
70	-4115.002	-4122.239	7.237299	27960.67	21.57045	0.992409	0.998048	1.00193	1.00761	5.49426
80	-4133.745	-4130.371	-3.373646	90573.66	19.38943	0.99578	0.998918	1.00108	1.00423	6.060799
90	-4131.874	-4132.698	0.8239526	33188.26	21.07096	0.993031	0.998209	1.00177	1.00699	5.807969
100	-4129.198	-4137.439	8.240204	79829.12	20.95456	0.995505	0.998847	1.00115	1.0045	5.457549
110	-4132.9	-4133.554	0.6536926	54790.24	19.94456	0.994575	0.998608	1.00138	1.00544	5.844545
120	-4129.411	-4128.322	-1.088244	98417.12	17.20398	0.995951	0.998962	1.00103	1.00405	5.937798
130	-4137.949	-4131.786	-6.162943	69183.76	15.92748	0.995172	0.998762	1.00123	1.00484	6.20136
140	-4129.502	-4125.144	-4.357831	97701.32	15.42387	0.995936	0.998958	1.00104	1.00407	6.057948
150	-4112.91	-4122.862	9.952582	91719.48	22.97474	0.995806	0.998925	1.00107	1.0042	5.338234
160	-4118.087	-4115.17	-2.916864	26106.29	17.734	0.992144	0.99798	1.002	1.00788	6.050813
170	-4104.075	-4108.96	4.884034	9716.145	19.47943	0.987134	0.996677	1.00326	1.01292	5.634818
180	-4111.481	-4104.749	-6.732352	2303.495	16.19954	0.973641	0.993112	1.00664	1.02661	6.247147
190	-4129.247	-4124.645	-4.601967	1437.871	19.44785	0.96668	0.99124	1.00836	1.03372	6.122632
200	-4115.021	-4114.916	-0.1052991	8968.155	20.14844	0.98661	0.99654	1.0034	1.01345	5.87809
210	-4110.162	-4123.369	13.20741	56582.98	21.87861	0.994661	0.99863	1.00136	1.00535	5.214446
220	-4106.258	-4112.861	6.602804	72604.52	19.18082	0.995287	0.998791	1.0012	1.00472	5.545037
230	-4107.834	-4116.542	8.707395	62405.67	20.20614	0.994916	0.998696	1.0013	1.00509	5.440587
240	-4102.839	-4110.259	7.420176	80797.31	18.97916	0.995532	0.998854	1.00114	1.00448	5.500085
250	-4094.355	-4101.442	7.08766	43536.63	18.39042	0.993915	0.998437	1.00155	1.0061	5.507021
260	-4115.907	-4112.293	-3.613324	49140.55	19.09498	0.994272	0.99853	1.00146	1.00574	6.079336
270	-4123.625	-4122.783	-0.8424302	73094.36	17.69313	0.995302	0.998795	1.0012	1.00471	5.933271
280	-4100.218	-4107.252	7.033297	91963.34	20.292	0.995812	0.998926	1.00107	1.00419	5.522833
290	-4103.003	-4104.859	1.855972	72975.27	19.93216	0.995299	0.998794	1.0012	1.00471	5.784461
300	-4106.766	-4105.398	-1.367787	42944.25	16.85846	0.993873	0.998427	1.00156	1.00614	5.944187
310	-4118.639	-4122.347	3.707677	26229.44	20.01931	0.992162	0.997984	1.00199	1.00786	5.690539
320	-4103.099	-4109.51	6.410545	43637.04	20.32997	0.993922	0.998439	1.00155	1.00609	5.553167
330	-4094.026	-4104.793	10.76652	69421.04	23.63484	0.99518	0.998764	1.00123	1.00483	5.28455
340	-4115.426	-4123.458	8.032131	80578.13	18.6439	0.995526	0.998853	1.00114	1.00448	5.46174
350	-4103.049	-4106.649	3.59991	83040.57	20.71518	0.995592	0.99887	1.00112	1.00441	5.684257
360	-4099.802	-4115.305	15.50312	27293.13	20.41263	0.992316	0.998024	1.00195	1.0077	5.106894
370	-4111.521	-4113.381	1.85965	58248.93	21.45267	0.994738	0.99865	1.00134	1.00527	5.747358
380	-4108.424	-4120.149	11.72447	38499.31	21.84567	0.993529	0.998338	1.00165	1.00649	5.2827
390	-4108.152	-4115.489	7.336386	96620.85	20.2233	0.995914	0.998953	1.00104	1.00409	5.508337
400	-4102.811	-4113.481	10.67003	64391.65	23.30026	0.994995	0.998716	1.00128	1.00501	5.298302
410	-4110.827	-4117.119	6.291976	85023.12	19.5334	0.995644	0.998883	1.00111	1.00436	5.562624
420	-4102.899	-4114.934	12.03538	27133.24	17.96235	0.992294	0.998019	1.00196	1.00773	5.219414
430	-4116.381	-4120.835	4.453594	52561.08	19.40218	0.994461	0.998578	1.00141	1.00555	5.657092
440	-4107.566	-4109.167	1.601046	33543.45	18.58062	0.993068	0.998219	1.00176	1.00695	5.806463
450	-4102.059	-4118.765	16.70601	79343.11	19.6375	0.995491	0.998844	1.00115	1.00452	5.032347
460	-4129.362	-4124.274	-5.087312	25986.04	18.05299	0.992126	0.997975	1.002	1.0079	6.172179
470	-4108.843	-4114.62	5.776503	23460.72	20.4801	0.991714	0.997868	1.00211	1.00831	5.582548
480	-4100.557	-4106.551	5.993694	57353.48	19.0765	0.994697	0.998639	1.00135	1.00531	5.576079
