Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	0	-4108.651	-4117.689	9.037543	19.66228	5.769022
1	1	-4110.986	-4121.798	10.81226	20.74899	5.66384
2	0	-4090.974	-4104.551	13.57638	19.84395	5.538022
3	1	-4105.256	-4117.955	12.69886	18.72588	5.577532
4	0	-4106.025	-4113.311	7.28647	18.20047	5.865002
5	1	-4105.952	-4125.835	19.88279	20.47033	5.225919
6	0	-4092.507	-4107.604	15.09691	25.06877	5.334985
7	1	-4108.218	-4118.459	10.24119	18.57	5.70751
8	0	-4104.001	-4109.795	5.79483	17.48981	5.939395
9	1	-4092.003	-4111.903	19.90047	20.02808	5.221619
10	0	-4103.439	-4107.286	3.846962	18.18409	6.054019
11	1	-4107.862	-4115.555	7.693148	18.97445	5.844191
12	0	-4106.093	-4112.06	5.967481	20.40539	5.907534
13	1	-4083.018	-4102.204	19.18631	18.18545	5.210521
14	0	-4116.514	-4122.221	5.706344	18.30306	5.95204
15	1	-4103.187	-4113.184	9.997289	19.48509	5.721549
16	0	-4087.863	-4103.515	15.65206	20.38783	5.433005
17	1	-4111.06	-4126.182	15.12215	17.75302	5.418055
18	0	-4103.858	-4119.944	16.08553	20.21479	5.412134
19	1	-4109.27	-4127.645	18.37478	22.55591	5.277132
20	0	-4113.558	-4119.925	6.367276	20.46015	5.886449
21	1	-4102.921	-4114.308	11.38712	18.70198	5.647338
22	0	-4105.835	-4114.028	8.192437	19.16462	5.816963
23	1	-4102.85	-4116.174	13.32449	18.5052	5.540233
24	0	-4118.851	-4125.151	6.300287	20.66436	5.883851
25	1	-4115.402	-4131.51	16.10797	21.1852	5.404103
26	0	-4097.428	-4110.033	12.60501	16.63774	5.505276
27	1	-4107.823	-4113.484	5.661016	16.34416	5.909531
28	0	-4102.186	-4114.327	12.14093	21.26929	5.589508
29	1	-4117.324	-4121.853	4.528932	20.84618	5.963247
30	0	-4098.746	-4113.041	14.29465	17.53091	5.455283
31	1	-4116.006	-4119.865	3.858953	18.75408	6.049271
32	0	-4105.616	-4120.498	14.88255	21.16036	5.462328
33	1	-4114.568	-4120.093	5.524474	17.85341	5.959737
34	0	-4097.759	-4109.182	11.42304	18.71032	5.645504
35	1	-4100.598	-4112.305	11.7065	21.12762	5.613147
36	0	-4092.55	-4113.997	21.44685	21.0398	5.152092
37	1	-4104.449	-4118.441	13.99244	16.60775	5.419762
38	0	-4092.796	-4111.159	18.36209	18.04375	5.2497
39	1	-4098.18	-4109.47	11.29011	20.41369	5.646564
40	0	-4078.718	-4099.279	20.56108	20.77001	5.194045
41	1	-4120.992	-4130.358	9.365869	15.452	5.612023
42	0	-4086.105	-4103.64	17.53499	20.05808	5.339874
43	1	-4108.359	-4123.138	14.7792	19.71968	5.477188
44	0	-4103.392	-4109.325	5.933234	22.35643	5.837612
