Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
0	-4108.651	-4117.689	9.037543	19.66228	5.769022
10	-4090.974	-4104.551	13.57638	19.84395	5.538022
20	-4106.025	-4113.311	7.28647	18.20047	5.865002
30	-4092.507	-4107.604	15.09691	25.06877	5.334985
40	-4104.001	-4109.795	5.79483	17.48981	5.939395
50	-4103.439	-4107.286	3.846962	18.18409	6.054019
60	-4106.093	-4112.06	5.967481	20.40539	5.907534
70	-4116.514	-4122.221	5.706344	18.30306	5.95204
80	-4087.863	-4103.515	15.65206	20.38783	5.433005
90	-4103.858	-4119.944	16.08553	20.21479	5.412134
100	-4113.558	-4119.925	6.367276	20.46015	5.886449
110	-4105.835	-4114.028	8.192437	19.16462	5.816963
120	-4118.851	-4125.151	6.300287	20.66436	5.883851
130	-4097.428	-4110.033	12.60501	16.63774	5.505276
140	-4102.186	-4114.327	12.14093	21.26929	5.589508
150	-4098.746	-4113.041	14.29465	17.53091	5.455283
160	-4105.616	-4120.498	14.88255	21.16036	5.462328
170	-4097.759	-4109.182	11.42304	18.71032	5.645504
180	-4092.55	-4113.997	21.44685	21.0398	5.152092
190	-4092.796	-4111.159	18.36209	18.04375	5.2497
200	-4078.718	-4099.279	20.56108	20.77001	5.194045
210	-4086.105	-4103.64	17.53499	20.05808	5.339874
220	-4103.392	-4109.325	5.933234	22.35643	5.837612
230	-4108.019	-4120.918	12.8992	21.27777	5.553681
240	-4097.849	-4109.286	11.43614	20.84698	5.63189
250	-4103.101	-4114.864	11.76291	22.93451	5.557024
260	-4095.637	-4110.047	14.40989	19.46722	5.49499
270	-4108.775	-4117.151	8.37597	18.00538	5.802573
280	-4115.51	-4117.492	1.981606	22.58523	6.002357
290	-4093.604	-4108.593	14.98909	20.4475	5.465141
300	-4096.963	-4107.506	10.54305	18.63323	5.691877
310	-4096.463	-4107.877	11.41371	15.94624	5.526572
320	-4103.979	-4109.461	5.481613	19.82453	5.946383
330	-4095.398	-4097.899	2.500843	21.17442	6.046861
340	-4089.219	-4102.799	13.57956	17.76797	5.505499
350	-4088.006	-4102.788	14.7816	20.43904	5.475349
360	-4083.738	-4097.175	13.43666	20.92169	5.534766
370	-4112.157	-4116.203	4.04613	21.01356	5.980135
380	-4105.734	-4117.108	11.37397	17.39255	5.616719
390	-4096.824	-4108.055	11.23082	23.73728	5.548521
400	-4084.408	-4102.573	18.16538	20.56817	5.309803
410	-4088.228	-4107.903	19.67509	20.43976	5.235933
420	-4117.983	-4124.315	6.331971	17.52778	5.909431
430	-4096.33	-4110.337	14.00681	19.98767	5.516027
440	-4083.284	-4105.214	21.93005	20.10017	5.1214
450	-4099.17	-4113.066	13.896	17.19071	5.461576
460	-4102.682	-4113.108	10.42653	17.17388	5.6627
470	-4118.098	-4127	8.902098	17.90002	5.771463
480	-4101.476	-4113.501	12.02507	22.2406	5.568757
490	-4104.915	-4109.963	5.047148	15.79627	5.916387
500	-4109.974	-4121.096	11.12234	16.99948	5.614066
510	-4105.883	-4110.593	4.709331	17.59273	6.002866
520	-4094.99	-4105.955	10.96497	19.05821	5.672067
530	-4094.86	-4112.059	17.19915	23.60274	5.301211
540	-4105.064	-4114.213	9.14935	17.37045	5.743917
550	-4101.981	-4111.86	9.878417	17.63443	5.710245
560	-4090.863	-4107.548	16.68506	19.5134	5.378638
570	-4099.956	-4112.244	12.28771	17.94507	5.583635
580	-4084.045	-4103.263	19.21764	20.71087	5.258756
590	-4104.64	-4118.787	14.14723	18.69262	5.499582
600	-4089.504	-4107.535	18.03178	21.54768	5.309517
610	-4107.375	-4118.897	11.52205	19.07694	5.642919
620	-4106.606	-4119.333	12.72716	19.71176	5.581269
630	-4094.905	-4110.321	15.41676	20.81728	5.441254
640	-4101.446	-4117.617	16.17183	19.43027	5.404091
650	-4111.84	-4118.025	6.185436	21.78721	5.850011
660	-4100.502	-4111.511	11.00869	17.92327	5.654366
670	-4094.323	-4099.168	4.844737	18.76261	5.996628
680	-4101.147	-4110.455	9.307914	17.33221	5.733514
690	-4089.834	-4105.199	15.3644	18.29301	5.424063
700	-4119.414	-4123.268	3.853207	17.0785	6.043481
710	-4098.546	-4108.311	9.765551	20.8418	5.712147
720	-4103.66	-4126.63	22.97004	20.50454	5.075504
730	-4099.249	-4112.221	12.97151	19.19764	5.567806
740	-4082.533	-4102.714	20.18116	18.40274	5.16551
750	-4101.789	-4104.818	3.028917	23.13163	5.92735
760	-4095.332	-4108.918	13.58586	18.17171	5.518108
770	-4119.836	-4134.633	14.79715	19.0911	5.471426
780	-4091.705	-4111.543	19.83804	17.69947	5.149323
790	-4100.911	-4121.921	21.00973	21.8293	5.169236
800	-4092.996	-4106.703	13.70772	20.56204	5.526599
810	-4086.318	-4108.727	22.40959	22.41753	5.099937
820	-4102.276	-4118.666	16.3897	21.83625	5.380751
830	-4101.173	-4119.577	18.40382	22.97101	5.266599
840	-4091.624	-4106.419	14.79473	22.28697	5.443042
850	-4095.772	-4105.889	10.11684	16.92213	5.669608
860	-4114.171	-4126.977	12.80552	20.33309	5.573224
870	-4111.113	-4125.838	14.72509	22.50304	5.440403
880	-4101.383	-4114.583	13.19992	19.13863	5.555478
890	-4101.995	-4116.082	14.08649	20.11505	5.511556
900	-4111.447	-4122.137	10.68955	20.48981	5.67468
910	-4109.17	-4117.176	8.006431	20.82932	5.796894
920	-4101.729	-4108.314	6.585232	18.59291	5.904356
930	-4105.196	-4110.826	5.629608	17.24785	5.943831
940	-4102.507	-4116.788	14.28145	18.41713	5.486452
